,tconst,titleFR,EncRunT,EncYear,EncNumR,averageRating,Crew1,Crew2
0,tt0002423,Passion,1,0,0,6.8,0.0,0.0
1,tt0008843,La Demi-lune rouge,1,0,0,5.9,0.0,0.0
2,tt0008933,Les frères Karamazoff,0,0,0,6.5,0.0,0.0
3,tt0009559,Le roman de la vallée heureuse,0,0,0,6.1,-4.150832976983158e-19,2.7085308982580027e-19
4,tt0009568,Rose-France,0,0,0,6.9,0.0,0.0
5,tt0009858,L'ABC de l'amour,0,0,0,6.4,0.0,0.0
6,tt0009878,Différent des autres,0,0,0,7.0,6.955894457531052e-06,-9.717741034371646e-06
7,tt0009893,Miss Milliard,0,0,0,7.2,0.0,0.0
8,tt0009894,Automobile Grise,2,0,0,7.1,0.0,0.0
9,tt0009900,L'instinct qui veille,0,0,0,6.3,0.0,0.0
10,tt0009903,Le serment de Black Billy,0,0,0,4.1,0.0,0.0
11,tt0009905,Barrabas,3,0,0,7.3,0.0,0.0
12,tt0009915,Une vengeance,0,0,0,7.2,0.0,0.0
13,tt0009918,La belle de New York,0,0,0,7.6,0.0,0.0
14,tt0009937,La loi des montagnes,1,0,0,7.0,0.0,0.0
15,tt0009960,La marque sanglante,0,0,0,6.9,0.0,0.0
16,tt0009968,Le lys brisé,1,0,1,7.3,0.0,0.0
17,tt0009969,Le papillon meurtri,0,0,0,6.4,0.0,0.0
18,tt0009972,Dégradation,0,0,0,6.0,0.0,0.0
19,tt0009976,Le champion,0,0,0,5.7,0.0,0.0
20,tt0009987,Le trésor,0,0,0,6.6,0.0,0.0
21,tt0010008,L'étoile de cinéma,0,0,0,8.3,0.0,0.0
22,tt0010040,Papa longue-jambes,1,0,0,6.5,0.0,0.0
23,tt0010060,Un délicieux petit diable,0,0,0,5.9,0.0,0.0
24,tt0010071,"Après la pluie, le beau temps",0,0,0,6.6,0.0,0.0
25,tt0010102,L'insaisissable beauté,0,0,0,5.2,0.0,0.0
26,tt0010103,Le voile de l'avenir,1,0,0,5.3,0.0,0.0
27,tt0010108,La mort de Babylone,1,0,0,6.8,1.852496677832397e-24,-1.4891700454073647e-25
28,tt0010112,Périlleuse mission,0,0,0,6.0,0.0,0.0
29,tt0010133,Rêves dorés,0,0,0,4.2,0.0,0.0
30,tt0010189,Le grand jeu,3,0,0,6.1,0.0,0.0
31,tt0010193,Justice,1,0,0,5.7,-4.150832976983158e-19,2.7085308982580027e-19
32,tt0010195,Un reportage tragique,0,0,0,6.8,0.0,0.0
33,tt0010201,Le prix du sang,0,0,0,6.0,0.0,0.0
34,tt0010203,Le métis,0,0,0,7.0,0.0,0.0
35,tt0010206,Le testament de sa Grâce,0,0,0,6.7,0.0,0.0
36,tt0010208,Madame Butterfly,1,0,0,5.7,0.0,0.0
37,tt0010229,Le prix du silence,0,0,0,5.7,0.0,0.0
38,tt0010247,Le trésor d'Arne,1,0,0,7.2,0.0,0.0
39,tt0010255,Sa majesté Douglas,1,0,0,6.3,0.0,0.0
40,tt0010267,Dans les bas-fonds,1,0,0,6.7,-1.279611668747446e-18,7.525015551941476e-19
41,tt0010292,Pas de chance,0,0,0,6.7,0.0,0.0
42,tt0010298,La voix des ancêtres,2,0,0,6.9,0.0,0.0
43,tt0010307,J'accuse,2,0,0,7.7,0.0,0.0
44,tt0010315,Le remplaçant,0,0,0,6.3,0.0,0.0
45,tt0010323,Le cabinet du docteur Caligari,0,0,2,8.1,0.0,0.0
46,tt0010331,Douglas brigand par amour,0,0,0,6.6,0.0,0.0
47,tt0010352,La ligne de vie,0,0,0,5.3,0.0,0.0
48,tt0010357,Par amour,3,0,0,5.9,0.0,0.0
49,tt0010375,La croisière de l'U 35,0,0,0,6.9,0.0,0.0
50,tt0010402,Prisonnière de l'Amour,0,0,0,6.4,0.0,0.0
51,tt0010418,L'admirable Crichton,1,0,0,7.0,0.0,0.0
52,tt0010419,Après le typhon,0,0,0,6.6,0.0,0.0
53,tt0010456,Meyer de Berlin,0,0,0,6.0,0.0,0.0
54,tt0010466,Le miracle,1,0,0,6.7,0.0,0.0
55,tt0010476,Le gardien de nuit,0,0,0,6.1,0.0,0.0
56,tt0010484,Charité,1,0,0,7.0,0.0,0.0
57,tt0010499,Le mystère de la chambre jaune,0,0,0,6.6,0.0,0.0
58,tt0010507,Dans la nuit,0,0,0,6.8,0.0,0.0
59,tt0010534,Fraternité,0,0,0,5.8,0.0,0.0
60,tt0010544,Le proscrit,0,0,0,4.2,0.0,0.0
61,tt0010559,La peste à Florence,1,0,0,6.4,0.0,0.0
62,tt0010562,Le petit café,0,0,0,6.9,0.0,0.0
63,tt0010596,Prostitution,1,0,0,6.6,0.0,0.0
64,tt0010598,Le président,0,0,0,6.6,0.0,0.0
65,tt0010600,La poupée,0,0,0,7.4,0.0,0.0
66,tt0010616,La lanterne rouge,0,0,0,6.6,0.0,0.0
67,tt0010629,La vengeance de Black Billy,0,0,0,4.1,0.0,0.0
68,tt0010641,Le roman de Rose,1,0,0,6.5,0.0,0.0
69,tt0010654,Au Sahara,0,0,0,4.6,0.0,0.0
70,tt0010662,Le calvaire d'une mère,0,0,0,4.9,0.0,0.0
71,tt0010694,La rose messagère,0,0,0,6.5,0.0,0.0
72,tt0010715,Le dictateur,0,0,0,6.1,0.0,0.0
73,tt0010726,Les araignées - Le lac d'or,1,0,0,6.6,0.0,0.0
74,tt0010733,Le frère inconnu,0,0,0,6.9,0.0,0.0
75,tt0010754,La petite fée de Solbakken,1,0,0,6.6,0.0,0.0
76,tt0010755,Le chant de la fleur écarlate,2,0,0,7.0,0.0,0.0
77,tt0010781,Le tigre sacré,3,0,0,3.5,0.0,0.0
78,tt0010791,Le lotus d'or,0,0,0,6.5,0.0,0.0
79,tt0010795,L'étreinte de la pieuvre,3,0,0,7.1,0.0,0.0
80,tt0010806,Le pauvre amour,1,0,0,7.0,0.0,0.0
81,tt0010821,Cauchemars et hallucinations,1,0,0,6.6,0.0,0.0
82,tt0010822,Les étoiles de la gloire,0,0,0,6.2,0.0,0.0
83,tt0010844,Le secret du bonheur,0,0,0,6.5,0.0,0.0
84,tt0010853,La caravane,0,0,0,6.7,0.0,0.0
85,tt0010879,Cauchemars et superstitions,1,0,0,6.9,0.0,0.0
86,tt0010890,Fleur sans tache,0,0,0,6.4,0.0,0.0
87,tt0010920,Une idylle dans la tourmente,0,0,0,6.4,0.0,0.0
88,tt0010947,L'émeraude fatale,0,0,0,6.7,0.0,0.0
89,tt0010962,Anne de Boleyn,1,0,0,6.6,0.0,0.0
90,tt0010965,Prince d'Orient,0,0,0,5.1,0.0,0.0
91,tt0010969,L'Atlantide,2,0,0,6.7,0.0,0.0
92,tt0010987,Le secret des abîmes,0,0,0,6.3,0.0,0.0
93,tt0011000,Pages arrachées au livre de satan,2,0,0,6.7,0.0,0.0
94,tt0011025,Le souffle des Dieux,0,0,0,5.3,0.0,0.0
95,tt0011031,Le bossu et la danseuse,0,0,0,6.2,0.0,0.0
96,tt0011070,La montée du passé,0,0,0,6.9,0.0,0.0
97,tt0011073,Le héros du silence,0,0,0,7.1,0.0,0.0
98,tt0011079,L'antiquaire,0,0,0,6.2,0.0,0.0
99,tt0011089,Le débrouillard,0,0,0,3.6,0.0,0.0
100,tt0011098,Les morts ne parlent pas,0,0,0,6.1,0.0,0.0
101,tt0011114,Les passe-partout du Diable,1,0,0,5.7,0.0,0.0
102,tt0011117,Grain de son,0,0,0,7.6,0.0,0.0
103,tt0011126,Le remplaçant,0,0,0,3.5,0.0,0.0
104,tt0011128,Un mariage mouvementé,0,0,0,6.4,0.0,0.0
105,tt0011130,Le Docteur Jekyll and M. Hyde,0,0,1,7.0,0.0007020828340978156,0.0008272992779240906
106,tt0011151,L'empire du diamant,0,0,0,5.2,0.0,0.0
107,tt0011157,Vers le bonheur,1,0,0,6.5,0.0,0.0
108,tt0011172,L'honneur du nom,0,0,0,5.7,0.0,0.0
109,tt0011197,Pour l'âme de Raphaël,0,0,0,4.9,0.0,0.0
110,tt0011205,Coureur de dot,0,0,0,6.2,0.0,0.0
111,tt0011216,La fête espagnole,0,5,0,6.3,0.0,0.0
112,tt0011217,La marche dans la nuit,1,0,0,6.3,0.0,0.0
113,tt0011232,Janette chez les peaux-rouges,0,0,0,4.4,0.0,0.0
114,tt0011234,Le système du Docteur Ox,0,0,0,4.2,1.4521893176212476e-06,6.536087224477696e-07
115,tt0011237,Le Golem,0,0,1,7.2,0.0,0.0
116,tt0011241,Pirates de l'air,0,0,0,3.3,0.0,0.0
117,tt0011246,Un lâche,0,0,0,4.6,0.0,0.0
118,tt0011256,Autour d'un coeur,1,0,0,5.3,0.0,0.0
119,tt0011294,L'Hirondelle et la Mésange,1,0,0,7.2,0.0,0.0
120,tt0011302,L'homme du large,1,0,0,6.9,0.00019415345190581393,6.035529212963408e-05
121,tt0011317,Humoresque,0,0,0,6.2,0.0,0.0
122,tt0011344,L'homme au couteau,0,0,0,6.2,0.0,0.0
123,tt0011348,Le crime du docteur Warren,1,0,0,7.2,6.955894457531052e-06,-9.717741034371646e-06
124,tt0011353,L'île d'espoir,0,0,0,5.9,0.0,0.0
125,tt0011358,Pour son gosse,0,0,0,6.6,0.0,0.0
126,tt0011362,La montre brisée,1,0,0,6.5,0.0,0.0
127,tt0011368,Kismet,1,0,0,6.6,0.0,0.0
128,tt0011370,Le monastère de Sendomir,0,0,0,6.9,0.0,0.0
129,tt0011371,Les filles de Kohlhiesel,0,0,0,6.6,0.0,0.0
130,tt0011387,Le dernier des Mohicans,0,0,0,6.7,0.0,0.0
131,tt0011401,Fatty candidat,0,0,0,6.1,0.0,0.0
132,tt0011414,Les signes de l'amour,0,0,0,5.0,0.0,0.0
133,tt0011415,La fleur d'amour,1,0,0,5.8,0.0,0.0
134,tt0011431,Le fantôme de Lord Barington,0,0,0,4.2,0.0,0.0
135,tt0011439,Le Signe de Zorro,1,0,0,7.1,0.0,0.0
136,tt0011440,L'éveil de la glèbe,1,0,0,6.6,0.0,0.0
137,tt0011454,Morphine,0,0,0,6.0,0.0,0.0
138,tt0011462,Folie d'été,0,0,0,6.5,0.0,0.0
139,tt0011474,Une poule mouillée,1,0,0,6.5,0.0,0.0
140,tt0011499,Maître Samuel,1,0,0,7.2,0.0,0.0
141,tt0011507,Narayana,0,0,0,5.7,0.0,0.0
142,tt0011522,La jolie infirmière,1,0,0,6.8,0.0,0.0
143,tt0011525,La Guerre des boeufs,1,0,0,6.1,0.0,0.0
144,tt0011530,Un garçon vieux-jeu,0,0,0,6.2,0.0,0.0
145,tt0011549,Maman,1,0,0,3.9,0.0,0.0
146,tt0011565,Satan,1,0,0,7.4,0.0,0.0
147,tt0011588,Pollyanna,0,0,0,6.5,0.0,0.0
148,tt0011607,La quatrième alliance de Dame Marguerite,1,0,0,7.1,0.0,0.0
149,tt0011612,93,2,0,0,5.8,0.0,0.0
150,tt0011619,L'arène conjugale,0,0,0,6.8,0.0,0.0
151,tt0011623,Les incomprises,1,0,0,6.0,-2.49465017405824e-18,2.3414972843678697e-18
152,tt0011624,Le retour de Tarzan,1,0,0,5.0,0.0,0.0
153,tt0011647,"Fatty, l'intrépide shériff",0,0,0,5.7,0.0,0.0
154,tt0011651,Son meilleur ami,0,0,0,7.0,0.0,0.0
155,tt0011652,Ce crétin de Malec,0,0,0,6.1,0.0,0.0
156,tt0011654,Satanas,0,0,0,6.9,0.0,0.0
157,tt0011679,Expiation,1,0,0,6.0,0.0,0.0
158,tt0011692,Le signe sur la porte,1,0,0,4.9,0.0,0.0
159,tt0011716,L'amour a-t-il un maître?,1,0,0,5.2,0.0,0.0
160,tt0011723,Les araignées - Le cargo d'esclaves,1,0,0,6.4,0.0,0.0
161,tt0011741,Rêve et réalité,0,0,0,6.3,-1.279611668747446e-18,7.525015551941476e-19
162,tt0011742,Sumurun,1,0,0,6.1,0.0,0.0
163,tt0011765,Dureté d'âme,1,0,0,6.1,0.0,0.0
164,tt0011779,Son dernier exploit,0,0,0,6.4,0.0,0.0
165,tt0011785,L'île au trésor,0,0,0,6.8,0.0,0.0
166,tt0011805,La bâillon,0,0,0,4.2,0.0,0.0
167,tt0011830,La vierge de Stamboul,0,0,0,5.8,0.0,0.0
168,tt0011833,De l'aube à minuit,0,0,0,6.9,0.0,0.0
169,tt0011837,L'image vagabonde,0,0,0,6.1,0.0,0.0
170,tt0011841,À travers l'orage,2,0,1,7.4,-4.150832976983158e-19,2.7085308982580027e-19
171,tt0011855,Les nuits de New York,1,0,0,6.5,0.0,0.0
172,tt0011865,L'échange,1,0,0,6.7,0.0,0.0
173,tt0011870,Within Our Gates,1,0,1,6.3,0.0,0.0
174,tt0011886,Haine implacable,1,0,0,6.9,0.0,0.0
175,tt0011890,Oui ou non,0,0,0,5.6,0.0,0.0
176,tt0011904,La carte fatale,0,0,0,6.8,0.0,0.0
177,tt0011906,Une excellente affaire,0,0,0,5.2,0.0,0.0
178,tt0011908,Les aventures de Tarzan,0,0,0,5.9,0.0,0.0
179,tt0011909,Le coeur nous trompe,1,0,0,6.6,0.0,0.0
180,tt0011912,Le vieux comédien,0,0,0,6.2,0.0,0.0
181,tt0011918,Nos chers disparus,0,0,0,6.2,0.0,0.0
182,tt0011944,Les drames de l'Alaska,0,0,0,5.0,0.0,0.0
183,tt0011948,Soyez ma femme,0,0,0,6.9,0.0,0.0
184,tt0011960,La chatte des montagne,1,0,0,6.9,0.0,0.0
185,tt0011968,Un homme libre,0,0,0,4.5,0.0,0.0
186,tt0011969,Ginette détective par amour,0,0,0,7.0,0.0,0.0
187,tt0011973,Beauté noire,0,0,0,5.9,0.0,0.0
188,tt0011990,La terre qui chante,0,0,0,6.8,-8.632558487864894e-08,-1.5351168762247112e-09
189,tt0011998,Les millions de Fatty,0,0,0,6.9,0.0,0.0
190,tt0012016,Le pirate,0,0,0,6.4,-2.49465017405824e-18,2.3414972843678697e-18
191,tt0012027,La dame aux camélias,0,0,0,6.6,0.0,0.0
192,tt0012028,Les aventures du Capitaine Barclay,0,0,0,1.6,0.0,0.0
