,tconst,primaryTitle,titleFR,Cluster_15
0,tt0002423,Passion,Passion,11
1,tt0008843,Man of Gold,La Demi-lune rouge,1
2,tt0008933,Die Brüder Karamasoff,Les frères Karamazoff,1
3,tt0009559,Romance of Happy Valley,Le roman de la vallée heureuse,8
4,tt0009568,Rose-France,Rose-France,1
5,tt0009858,The A.B.C. of Love,L'ABC de l'amour,1
6,tt0009878,Different from the Others,Différent des autres,6
7,tt0009893,The Oyster Princess,Miss Milliard,4
8,tt0009894,The Grey Automobile,Automobile Grise,2
9,tt0009900,Back to God's Country,L'instinct qui veille,5
10,tt0009903,Bare Fists,Le serment de Black Billy,1
11,tt0009905,Barrabas,Barrabas,2
12,tt0009915,Behind the Door,Une vengeance,6
13,tt0009918,The Belle of New York,La belle de New York,1
14,tt0009937,Blind Husbands,La loi des montagnes,8
15,tt0009960,The Brand,La marque sanglante,9
16,tt0009968,Broken Blossoms,Le lys brisé,8
17,tt0009969,The Broken Butterfly,Le papillon meurtri,1
18,tt0009972,The Brute Breaker,Dégradation,5
19,tt0009976,The Busher,Le champion,1
20,tt0009987,"Captain Kidd, Jr.",Le trésor,4
21,tt0010008,The Cinema Murder,L'étoile de cinéma,1
22,tt0010040,Daddy-Long-Legs,Papa longue-jambes,0
23,tt0010060,The Delicious Little Devil,Un délicieux petit diable,0
24,tt0010071,Don't Change Your Husband,"Après la pluie, le beau temps",4
25,tt0010102,The Exquisite Thief,L'insaisissable beauté,6
26,tt0010103,Eyes of Youth,Le voile de l'avenir,1
27,tt0010108,The Fall of Babylon,La mort de Babylone,1
28,tt0010112,The False Faces,Périlleuse mission,1
29,tt0010133,The Follies Girl,Rêves dorés,4
30,tt0010189,The Great Gamble,Le grand jeu,12
31,tt0010193,The Greatest Question,Justice,1
32,tt0010195,The Grim Game,Un reportage tragique,5
33,tt0010201,Haceldama ou Le prix du sang,Le prix du sang,1
34,tt0010203,The Halfbreed,Le métis,13
35,tt0010206,Hans nåds testamente,Le testament de sa Grâce,4
36,tt0010208,Harakiri,Madame Butterfly,1
37,tt0010229,The Heart of Wetona,Le prix du silence,8
38,tt0010247,Sir Arne's Treasure,Le trésor d'Arne,1
39,tt0010255,"His Majesty, the American",Sa majesté Douglas,5
40,tt0010267,The Hoodlum,Dans les bas-fonds,4
41,tt0010292,In Wrong,Pas de chance,4
42,tt0010298,Ingmarssönerna,La voix des ancêtres,1
43,tt0010307,J'accuse!,J'accuse,6
44,tt0010315,Johnny Get Your Gun,Le remplaçant,0
45,tt0010323,The Cabinet of Dr. Caligari,Le cabinet du docteur Caligari,12
46,tt0010331,The Knickerbocker Buckaroo,Douglas brigand par amour,7
47,tt0010352,The Life Line,La ligne de vie,5
48,tt0010357,The Lightning Raider,Par amour,9
49,tt0010375,The Log of the U-35,La croisière de l'U 35,3
50,tt0010402,Love's Prisoner,Prisonnière de l'Amour,6
51,tt0010418,Male and Female,L'admirable Crichton,5
52,tt0010419,The Man Hunter,Après le typhon,5
53,tt0010456,Meyer from Berlin,Meyer de Berlin,4
54,tt0010466,The Miracle Man,Le miracle,1
55,tt0010476,The Money Corral,Le gardien de nuit,9
56,tt0010484,The Mother and the Law,Charité,1
57,tt0010499,The Mystery of the Yellow Room,Le mystère de la chambre jaune,12
58,tt0010507,The New Moon,Dans la nuit,1
59,tt0010534,The Other Half,Fraternité,1
60,tt0010544,The Outcasts of Poker Flat,Le proscrit,1
61,tt0010559,Die Pest in Florenz,La peste à Florence,1
62,tt0010562,The Little Cafe,Le petit café,4
63,tt0010596,Prostitution,Prostitution,1
64,tt0010598,The President,Le président,1
65,tt0010600,The Doll,La poupée,4
66,tt0010616,The Red Lantern,La lanterne rouge,1
67,tt0010629,Riders of Vengeance,La vengeance de Black Billy,1
68,tt0010641,A Rosa do Adro,Le roman de Rose,8
69,tt0010654,Sahara,Au Sahara,9
70,tt0010662,Scarlet Days,Le calvaire d'une mère,5
71,tt0010694,Should a Woman Tell?,La rose messagère,1
72,tt0010715,Soldiers of Fortune,Le dictateur,5
73,tt0010726,The Spiders - Episode 1: The Golden Sea,Les araignées - Le lac d'or,9
74,tt0010733,Square Deal Sanderson,Le frère inconnu,2
75,tt0010754,Fairy of Solbakken,La petite fée de Solbakken,1
76,tt0010755,Sången om den eldröda blomman,Le chant de la fleur écarlate,8
77,tt0010781,The Tiger's Trail,Le tigre sacré,5
78,tt0010791,The Tong Man,Le lotus d'or,6
79,tt0010795,The Trail of the Octopus,L'étreinte de la pieuvre,12
80,tt0010806,True Heart Susie,Le pauvre amour,7
81,tt0010821,Eerie Tales,Cauchemars et hallucinations,12
82,tt0010822,Unknown Love,Les étoiles de la gloire,6
83,tt0010844,Victory,Le secret du bonheur,8
84,tt0010853,Wagon Tracks,La caravane,12
85,tt0010879,When the Clouds Roll by,Cauchemars et superstitions,7
86,tt0010890,The Wicked Darling,Fleur sans tache,6
87,tt0010920,The World and Its Woman,Une idylle dans la tourmente,1
88,tt0010947,Evening - Night - Morning,L'émeraude fatale,1
89,tt0010962,Deception,Anne de Boleyn,11
90,tt0010965,An Arabian Knight,Prince d'Orient,9
91,tt0010969,Missing Husbands,L'Atlantide,12
92,tt0010987,Below the Surface,Le secret des abîmes,1
93,tt0011000,Leaves From Satan's Book,Pages arrachées au livre de satan,1
94,tt0011025,The Breath of the Gods,Le souffle des Dieux,1
95,tt0011031,The Hunchback and the Dancer,Le bossu et la danseuse,14
96,tt0011070,Conrad in Quest of His Youth,La montée du passé,0
97,tt0011073,The Copperhead,Le héros du silence,1
98,tt0011079,Crooked Streets,L'antiquaire,1
99,tt0011089,The Dancin' Fool,Le débrouillard,7
100,tt0011098,Dead Men Tell No Tales,Les morts ne parlent pas,9
101,tt0011114,The Devil's Passkey,Les passe-partout du Diable,1
102,tt0011117,Dinty,Grain de son,5
103,tt0011126,A Double-Dyed Deceiver,Le remplaçant,6
104,tt0011128,Down on the Farm,Un mariage mouvementé,4
105,tt0011130,Dr. Jekyll and Mr. Hyde,Le Docteur Jekyll and M. Hyde,1
106,tt0011151,The Empire of Diamonds,L'empire du diamant,6
107,tt0011157,Erotikon,Vers le bonheur,7
108,tt0011172,The Family Honor,L'honneur du nom,1
109,tt0011197,For the Soul of Rafael,Pour l'âme de Raphaël,5
110,tt0011205,The Fortune Teller,Coureur de dot,1
111,tt0011216,Spanish Fiesta,La fête espagnole,1
112,tt0011217,Journey into the Night,La marche dans la nuit,1
113,tt0011232,The Girl of My Heart,Janette chez les peaux-rouges,9
114,tt0011234,Go and Get It,Le système du Docteur Ox,0
115,tt0011237,The Golem,Le Golem,13
116,tt0011241,The Great Air Robbery,Pirates de l'air,9
117,tt0011246,The Great Redeemer,Un lâche,1
118,tt0011256,Gyurkovicsarna,Autour d'un coeur,4
119,tt0011294,The Swallow and the Titmouse,L'Hirondelle et la Mésange,1
120,tt0011302,L'homme du large,L'homme du large,1
121,tt0011317,Humoresque,Humoresque,1
122,tt0011344,The Jack-Knife Man,L'homme au couteau,1
123,tt0011348,The Head of Janus,Le crime du docteur Warren,14
124,tt0011353,The Joyous Trouble-Makers,L'île d'espoir,5
125,tt0011358,Just Pals,Pour son gosse,0
126,tt0011362,Karin Ingmarsdotter,La montre brisée,1
127,tt0011368,Kismet,Kismet,1
128,tt0011370,Klostret i Sendomir,Le monastère de Sendomir,1
129,tt0011371,Kohlhiesel's Daughters,Les filles de Kohlhiesel,7
130,tt0011387,The Last of the Mohicans,Le dernier des Mohicans,5
131,tt0011401,The Life of the Party,Fatty candidat,0
132,tt0011414,The Love Expert,Les signes de l'amour,7
133,tt0011415,The Love Flower,La fleur d'amour,1
134,tt0011431,The Man Who Lost Himself,Le fantôme de Lord Barington,0
135,tt0011439,The Mark of Zorro,Le Signe de Zorro,5
136,tt0011440,Markens grøde,L'éveil de la glèbe,1
137,tt0011454,Lord Chilcott,Morphine,1
138,tt0011462,Midsummer Madness,Folie d'été,1
139,tt0011474,The Mollycoddle,Une poule mouillée,5
