,tconst,startYear
9,tt0000591,1907.0
35,tt0000886,1910.0
69,tt0001175,1912.0
169,tt0001790,1913.0
177,tt0001826,1911.0
207,tt0001993,1911.0
235,tt0002130,1911.0
270,tt0002199,1912.0
317,tt0002423,1919.0
325,tt0002445,1913.0
336,tt0002461,1912.0
359,tt0002514,1912.0
365,tt0002555,1913.0
373,tt0002588,1912.0
380,tt0002605,1913.0
427,tt0002669,1913.0
471,tt0002798,1913.0
505,tt0002844,1913.0
534,tt0002898,1913.0
545,tt0002917,1913.0
607,tt0003015,1913.0
621,tt0003037,1913.0
711,tt0003159,1913.0
717,tt0003165,1913.0
862,tt0003367,1913.0
893,tt0003419,1913.0
933,tt0003489,1913.0
1108,tt0003657,1914.0
1244,tt0003740,1914.0
1485,tt0003871,1914.0
1501,tt0003883,1913.0
1541,tt0003897,1914.0
1561,tt0003930,1914.0
1575,tt0003952,1914.0
1682,tt0004026,1915.0
1851,tt0004150,1914.0
1933,tt0004181,1914.0
2163,tt0004301,1914.0
2381,tt0004384,1914.0
2497,tt0004438,1914.0
2552,tt0004465,1914.0
2567,tt0004473,1914.0
2585,tt0004490,1914.0
2632,tt0004525,1914.0
2724,tt0004570,1915.0
2805,tt0004631,1914.0
2975,tt0004707,1914.0
2991,tt0004712,1915.0
3040,tt0004740,1914.0
3081,tt0004761,1914.0
3138,tt0004798,1914.0
3154,tt0004816,1914.0
3170,tt0004825,1914.0
3228,tt0004838,1914.0
3309,tt0004872,1915.0
3317,tt0004873,1915.0
3323,tt0004874,1915.0
3343,tt0004885,1915.0
3375,tt0004901,1915.0
3495,tt0004942,1915.0
3556,tt0004962,1915.0
3581,tt0004972,1915.0
3618,tt0004978,1915.0
3758,tt0005041,1915.0
3813,tt0005058,1915.0
3887,tt0005078,1915.0
3977,tt0005103,1915.0
4119,tt0005149,1915.0
4290,tt0005187,1915.0
4312,tt0005190,1915.0
4427,tt0005243,1915.0
4453,tt0005250,1915.0
4547,tt0005302,1915.0
4598,tt0005326,1915.0
4636,tt0005331,1915.0
4663,tt0005339,1915.0
5067,tt0005464,1915.0
5292,tt0005551,1915.0
5331,tt0005558,1915.0
5344,tt0005561,1915.0
5359,tt0005566,1915.0
5489,tt0005600,1915.0
5542,tt0005621,1915.0
5700,tt0005682,1915.0
6256,tt0005822,1916.0
6317,tt0005847,1915.0
6351,tt0005862,1915.0
6405,tt0005889,1915.0
6560,tt0005938,1914.0
6592,tt0005951,1917.0
6607,tt0005957,1915.0
6615,tt0005958,1919.0
6630,tt0005960,1915.0
6698,tt0005980,1915.0
6922,tt0006041,1915.0
7212,tt0006140,1915.0
7363,tt0006206,1915.0
7554,tt0006279,1915.0
7707,tt0006318,1915.0
7775,tt0006333,1916.0
7831,tt0006343,1916.0
7853,tt0006352,1916.0
7862,tt0006357,1916.0
7878,tt0006359,1916.0
7939,tt0006375,1916.0
8004,tt0006386,1915.0
8038,tt0006397,1916.0
8079,tt0006408,1916.0
8159,tt0006428,1916.0
8249,tt0006456,1916.0
8268,tt0006462,1916.0
8282,tt0006467,1915.0
8354,tt0006488,1916.0
8362,tt0006489,1916.0
8403,tt0006505,1916.0
8412,tt0006508,1916.0
8420,tt0006509,1916.0
8449,tt0006517,1915.0
8513,tt0006541,1916.0
8551,tt0006556,1916.0
8604,tt0006566,1916.0
8612,tt0006568,1916.0
8618,tt0006569,1916.0
8625,tt0006570,1916.0
8667,tt0006583,1916.0
8727,tt0006592,1916.0
8752,tt0006596,1916.0
8795,tt0006617,1916.0
8801,tt0006618,1916.0
8815,tt0006621,1916.0
8872,tt0006637,1916.0
8914,tt0006662,1916.0
9028,tt0006696,1916.0
9155,tt0006729,1917.0
9195,tt0006736,1916.0
9282,tt0006749,1916.0
9297,tt0006753,1916.0
9337,tt0006761,1915.0
9344,tt0006763,1916.0
9366,tt0006770,1916.0
9401,tt0006777,1916.0
9407,tt0006778,1916.0
9414,tt0006780,1916.0
9421,tt0006781,1916.0
9483,tt0006809,1916.0
9505,tt0006820,1916.0
9527,tt0006824,1916.0
9570,tt0006831,1916.0
9678,tt0006864,1916.0
9696,tt0006867,1916.0
9727,tt0006872,1917.0
9771,tt0006881,1916.0
9784,tt0006884,1916.0
9790,tt0006886,1916.0
9907,tt0006914,1916.0
9990,tt0006932,1916.0
9997,tt0006933,1916.0
10097,tt0006997,1916.0
10139,tt0007011,1916.0
10231,tt0007031,1916.0
10312,tt0007047,1916.0
10421,tt0007073,1916.0
10445,tt0007082,1916.0
10473,tt0007089,1916.0
10569,tt0007111,1917.0
10624,tt0007118,1916.0
10713,tt0007150,1916.0
10734,tt0007154,1916.0
10741,tt0007156,1916.0
10763,tt0007161,1916.0
10786,tt0007167,1916.0
10846,tt0007183,1916.0
10878,tt0007189,1916.0
10898,tt0007192,1916.0
